year|category|programme_or_output|page|budget_amount|currency|notes|source_file|revenue_type|amount_1|amount_2|amount_3
2023|Programme Output|Roads Maintained|20.0|50.0|Kilometres|Planned maintenance of 50 kilometres of road.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Public Amenities Maintained|20.0|20.0|Units|Planned maintenance of 20 public amenities.|chirundu_obb_2023.pdf.pdf||||
2023|CDF|Constituency Development Programme|11.0|28300000.0|ZMW|Total allocation towards use of goods and services: K28.3 million.|chirundu_obb_2023.pdf.pdf||||
2023|CDF|Community-Based Projects|11.0|16980000.0|ZMW|CDF allocation for community-based projects.|chirundu_obb_2023.pdf.pdf||||
2023|CDF|Youth and Women Empowerment|11.0|5660000.0|ZMW|CDF allocation for youth and women empowerment.|chirundu_obb_2023.pdf.pdf||||
2023|CDF|Secondary Boarding and Skills Development Bursaries|11.0|5660000.0|ZMW|CDF allocation for bursaries.|chirundu_obb_2023.pdf.pdf||||
2023|Local Revenue|Residential|3.0|126064.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Local Taxes/Rates|126064.0|136401.0|146359.0
2023|Local Revenue|Industrial/Commercial|3.0|324666.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Local Taxes/Rates|324666.0|351289.0|376933.0
2023|Local Revenue|Personal levy|3.0|34350.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Local Taxes/Rates|34350.0|37167.0|39880.0
2023|Local Revenue|Consent fees|3.0|132000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|132000.0|142824.0|153250.0
2023|Local Revenue|Survey fees|3.0|300000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|300000.0|324600.0|348296.0
2023|Local Revenue|Building inspection-fees|3.0|40000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|40000.0|43280.0|46439.0
2023|Local Revenue|Plan scrutiny fee|3.0|73644.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|73644.0|79683.0|85499.0
2023|Local Revenue|Change of premise use|3.0|7500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|7500.0|8115.0|8707.0
2023|Local Revenue|Container/Ntemba fees|3.0|174000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|174000.0|188268.0|202012.0
2023|Local Revenue|Application forms fees|3.0|60000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|60000.0|64920.0|69659.0
2023|Local Revenue|Notice board advert fees|3.0|2200.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|2200.0|2380.0|2554.0
2023|Local Revenue|Market fees|3.0|90000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|90000.0|97380.0|104489.0
2023|Local Revenue|Parking fees|3.0|8475000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|8475000.0|9169950.0|9839356.0
2023|Local Revenue|Bus station fees|3.0|31500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|31500.0|34083.0|36571.0
2023|Local Revenue|Affidavit fees|3.0|20000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|20000.0|21640.0|23220.0
2023|Local Revenue|Hire of halls|3.0|1200.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|1200.0|1298.0|1393.0
2023|Local Revenue|Course fees|3.0|3500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|3500.0|3787.0|4063.0
2023|Local Revenue|Refuse disposal|3.0|446000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|446000.0|482572.0|517800.0
2023|Local Revenue|Notice of marriage fees|3.0|18500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|18500.0|20017.0|21478.0
2023|Local Revenue|Registration of clubs and societies|3.0|40000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|40000.0|43280.0|46439.0
2023|Local Revenue|Communication mast levy|3.0|24500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|24500.0|26509.0|28444.0
2023|Local Revenue|llegal Parking of vehicles|3.0|27500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|27500.0|29755.0|31927.0
2023|Local Revenue|Land record|3.0|15000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|15000.0|16230.0|17415.0
2023|Local Revenue|Billboards and banners|3.0|96700.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|96700.0|104629.0|112267.0
2023|Local Revenue|Lease of council transport|3.0|776000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|776000.0|839632.0|900925.0
2023|Local Revenue|Penalties|3.0|128000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|128000.0|138496.0|148606.0
2023|Local Revenue|Other fees and charges|3.0|86960.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Fees and Charges|86960.0|94091.0|100959.0
2023|Local Revenue|Liquor licence|3.0|143550.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Licenses|143550.0|155321.0|166660.0
2023|Local Revenue|Firearm and ammunition licence|3.0|18750.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Licenses|18750.0|20288.0|21768.0
2023|Local Revenue|Dog licence|3.0|10000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Licenses|10000.0|10820.0|11610.0
2023|Local Revenue|Ocupancy licence|3.0|11250.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Licenses|11250.0|12173.0|13061.0
2023|Local Revenue|Other licences|3.0|140000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Licenses|140000.0|151480.0|162538.0
2023|Local Revenue|Livestock levy|4.0|31000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Levies|31000.0|33542.0|35991.0
2023|Local Revenue|Birds levy|4.0|1500.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Levies|1500.0|1623.0|1741.0
2023|Local Revenue|Fish levy|4.0|6000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Levies|6000.0|6492.0|6966.0
2023|Local Revenue|Pole levy|4.0|450.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Levies|450.0|487.0|522.0
2023|Local Revenue|Charcoal levy|4.0|28800.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Levies|28800.0|31162.0|33436.0
2023|Local Revenue|Sand levy|4.0|44000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Levies|44000.0|47608.0|51083.0
2023|Local Revenue|Miscellaneous levies|4.0|30000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Levies|30000.0|32460.0|34830.0
2023|Local Revenue|Health permits|4.0|300000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|300000.0|324600.0|348296.0
2023|Local Revenue|Herbalist permit|4.0|1000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|1000.0|1082.0|1161.0
2023|Local Revenue|Transportation of opaque beer|4.0|12000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|12000.0|12984.0|13932.0
2023|Local Revenue|Nursery , pre school permits|4.0|31550.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|31550.0|34137.0|36629.0
2023|Local Revenue|Burial permits and grave sites|4.0|1000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|1000.0|1082.0|1161.0
2023|Local Revenue|Fire certificate|4.0|355400.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|355400.0|384543.0|412614.0
2023|Local Revenue|Extension of business hours permits|4.0|72000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|72000.0|77904.0|83591.0
2023|Local Revenue|Public permits (social gatherings, etc.)|4.0|6250.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|6250.0|6763.0|7256.0
2023|Local Revenue|Other permits|4.0|1141100.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Permits|1141100.0|1234670.0|1324801.0
2023|Local Revenue|Grant in lieu or Rates|4.0|150000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|National Support (Grants)|150000.0|150000.0|150000.0
2023|Local Revenue|Restructuring Grant|4.0|7536556.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|National Support (Grants)|7536556.0|8154554.0|8154554.0
2023|Local Revenue|Capital Grant|4.0|1884139.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|National Support (Grants)|1884139.0|2038638.0|2187459.0
2023|Local Revenue|Service Charges — Residential Plots|4.0|950000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Charges|950000.0|1027900.0|1102937.0
2023|Local Revenue|Service Charges — Industrial Plots|4.0|100000.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Charges|100000.0|108200.0|116099.0
2023|Local Revenue|Other Income|4.0|204686.0|ZMW|Column headings were not OCR-readable; values retained in source order. budget_amount set from 2023 budget column.|chirundu_obb_2023.pdf.pdf|Other Incomes|204686.0|221470.0|237638.0
2023|LGEF|Local Government Equalisation Fund|||ZMW|Not separately identified in the OCR text or the reviewed grant pages. No separately stated LGEF allocation in the source budget; value intentionally blank.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Constituency Development|11.0|28300000.0|ZMW|Programme 1 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Public Order and Safety|26.0|219472.0|ZMW|Programme 10 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Management and Support Services|28.0|5722070.0|ZMW|Programme 11 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Resource Mobilisation and Management|30.0|4519579.0|ZMW|Programme 12 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Local Governance|12.0|984650.0|ZMW|Programme 2 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Integrated Development Planning|14.0|1167060.0|ZMW|Programme 3 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Economic and Business Development|16.0|1335960.0|ZMW|Programme 4 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Public Health and Environmental Protection|18.0|3746811.0|ZMW|Programme 5 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Housing and Community Amenities|20.0|6452483.0|ZMW|Programme 6 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Recreation Culture and Religion|22.0|130680.0|ZMW|Programme 7 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Education and Skills Development|24.0|130500.0|ZMW|Programme 8 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme|Social Protection|25.0|356500.0|ZMW|Programme 9 identified in the 2023 OBB. Amount verified from programme allocation table.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Community Capital Projects|11.0|||Programme 1: Constituency Development; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Youth Empowerment Beneficiaries|11.0|||Programme 1: Constituency Development; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Women Empowerment Beneficiaries|11.0|||Programme 1: Constituency Development; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Secondary School Busary Beneficiaries|11.0|||Programme 1: Constituency Development; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Skills Development Busary Beneficiaries|11.0|||Programme 1: Constituency Development; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Proportion of Twenty five - minute response time to Fire|26.0|||Programme 10: Public Order and Safety; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Proportion of Twenty five - minute response time to|26.0|||Programme 10: Public Order and Safety; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of places ridden of Street Vendors|26.0|||Programme 10: Public Order and Safety; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Proportion compliance to Fire regulations|26.0|||Programme 10: Public Order and Safety; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of street lights maintained|26.0|||Programme 10: Public Order and Safety; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of enforcements carried out|26.0|||Programme 10: Public Order and Safety; Output 06.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Bulidings complying to Building regulations|26.0|||Programme 10: Public Order and Safety; Output 07.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Procurement Plan developed|28.0|||Programme 11: Management and Support Services; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Audit Committee Reports Produced|28.0|||Programme 11: Management and Support Services; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Percentage Reduction of Audit queries|28.0|||Programme 11: Management and Support Services; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Financial Statements prepared|28.0|||Programme 11: Management and Support Services; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Community Sensitisations carried out|28.0|||Programme 11: Management and Support Services; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of AGMs|28.0|||Programme 11: Management and Support Services; Output 06.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Percentage of Local Revenue Target Achieved|30.0|||Programme 12: Resource Mobilisation and Management; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Automated Cash Collection Application Launched (Airtel)|30.0|||Programme 12: Resource Mobilisation and Management; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Compliance in Revenue Collection against Bankings|30.0|||Programme 12: Resource Mobilisation and Management; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Billing System (Dove) Procured|30.0|||Programme 12: Resource Mobilisation and Management; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Percentage of Revenue Increased|30.0|||Programme 12: Resource Mobilisation and Management; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Full Council Meetings held|12.0|||Programme 2: Local Governance; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Public Functions attended|12.0|||Programme 2: Local Governance; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Stakeholder meetings|12.0|||Programme 2: Local Governance; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Ward Development committees oriented|12.0|||Programme 2: Local Governance; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number Of Social Responsibility Programmes Supported|12.0|||Programme 2: Local Governance; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Intergrated Development Plan developed|14.0|||Programme 3: Integrated Development Planning; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Policies developed|14.0|||Programme 3: Integrated Development Planning; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Meetings attended|14.0|||Programme 3: Integrated Development Planning; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Proportion of Sourced Condoms Distributed|14.0|||Programme 3: Integrated Development Planning; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Wards sensitised|14.0|||Programme 3: Integrated Development Planning; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of unplanned settlements upgraded|14.0|||Programme 3: Integrated Development Planning; Output 06.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Commemorations|14.0|||Programme 3: Integrated Development Planning; Output 08.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Meetings for DDCC Member oriention|14.0|||Programme 3: Integrated Development Planning; Output 09.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Website Created|14.0|||Programme 3: Integrated Development Planning; Output 10.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Active WDCs|14.0|||Programme 3: Integrated Development Planning; Output 11.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Percentage of revenue increased|16.0|||Programme 4: Economic and Business Development; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Truck Parks Established|16.0|||Programme 4: Economic and Business Development; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Percentage of Revenue collected by Ward Development|16.0|||Programme 4: Economic and Business Development; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Recreation Center opened|16.0|||Programme 4: Economic and Business Development; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Keep Chirundu Clean Green and Healthy|18.0|||Programme 5: Public Health and Environmental Protection; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Tonnes of Garbage collected 120,000 - 130,000 14,520-—-30,000|18.0|||Programme 5: Public Health and Environmental Protection; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Proportion of Dogs registered|18.0|||Programme 5: Public Health and Environmental Protection; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Proportion of unclaimed bodies disposed timely|18.0|||Programme 5: Public Health and Environmental Protection; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of trainings of Community Champions and pump|18.0|||Programme 5: Public Health and Environmental Protection; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Meat inspections|18.0|||Programme 5: Public Health and Environmental Protection; Output 06.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Commemorations|18.0|||Programme 5: Public Health and Environmental Protection; Output 07.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Zambia Institute of Environment and Health conference|18.0|||Programme 5: Public Health and Environmental Protection; Output 08.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Pre-schools inspected|18.0|||Programme 5: Public Health and Environmental Protection; Output 09.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Proportion of Households sprayed|18.0|||Programme 5: Public Health and Environmental Protection; Output 10.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of CDF Projects implemented|20.0|||Programme 6: Housing and Community Amenities; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of WDF Projects Implemented|20.0|||Programme 6: Housing and Community Amenities; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Marketers accommodated|20.0|||Programme 6: Housing and Community Amenities; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Percentage of Market Fees Collected|20.0|||Programme 6: Housing and Community Amenities; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Kilometers of Roads maintained|20.0|||Programme 6: Housing and Community Amenities; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Public Amenities maintained|20.0|||Programme 6: Housing and Community Amenities; Output 06.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Football Matches played|22.0|||Programme 7: Recreation Culture and Religion; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Traditional ceremonies attended|22.0|||Programme 7: Recreation Culture and Religion; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Recreation Center built (Gym /Bar /Play Park /Pool, etc)|22.0|||Programme 7: Recreation Culture and Religion; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Clubs registered|22.0|||Programme 7: Recreation Culture and Religion; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|ZALASA Tournament attended|22.0|||Programme 7: Recreation Culture and Religion; Output 05.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Friday Sports Day Held|22.0|||Programme 7: Recreation Culture and Religion; Output 06.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Skills and Deveploment Engagements|24.0|||Programme 8: Education and Skills Development; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number Adolescence & Young People Reached|25.0|||Programme 9: Social Protection; Output 01.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of CATFs Trained|25.0|||Programme 9: Social Protection; Output 02.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Commemorations Held|25.0|||Programme 9: Social Protection; Output 03.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Communities Reached|25.0|||Programme 9: Social Protection; Output 04.|chirundu_obb_2023.pdf.pdf||||
2023|Programme Output|Number of Wards Sensitized on 16 Days of Gender|25.0|||Programme 9: Social Protection; Output 05.|chirundu_obb_2023.pdf.pdf||||
